dissertation_id,aha_dissertation_id,scholar_id,aha_scholar_id,role
1647,7578,2933,12430,chair
1652,7583,17572,83882,chair
1655,7586,4027,17442,chair
1656,7587,3809,16810,chair
1659,7590,4489,18609,chair
1661,7592,4836,19544,chair
1664,7595,21317,103616,chair
1667,7598,4618,18955,chair
1668,7599,5792,21999,chair
1673,7604,12411,60105,chair
1674,7605,2647,11708,chair
1676,7607,16646,79800,chair
1677,7608,30597,137606,chair
1679,7610,63,1730,chair
1681,7612,30388,137366,chair
1682,7613,1606,8857,chair
1684,7615,5859,22171,chair
1684,7615,13955,66778,reader
1690,7621,12081,58333,chair
1690,7621,11054,53213,reader
1693,7624,2123,10344,chair
1695,7626,4866,19636,chair
1699,7630,5226,20614,chair
1700,7631,22444,111745,chair
1701,7632,23113,115173,chair
1704,7635,24995,119622,chair
1709,7640,23293,115481,chair
1711,7642,114,1939,chair
1711,7642,2672,11765,reader
1714,7645,22444,111745,chair
1720,7651,23114,115174,chair
1721,7652,27336,127217,chair
1722,7653,6863,33174,chair
1724,7656,1002,7297,chair
1725,7657,20801,101334,chair
1725,7657,16465,78791,reader
1732,7665,20257,98797,chair
1734,7668,30232,137163,chair
1737,7671,5130,20360,chair
1739,7673,1145,7694,chair
1742,7676,18330,86216,chair
1742,7676,27083,126292,reader
1743,7677,10029,48855,chair
1746,7680,20010,96637,chair
1747,7681,1503,8589,chair
1749,7683,1687,9074,chair
1751,7685,4309,18129,chair
1752,7686,1603,8852,chair
1755,7689,1411,8367,chair
1756,7690,4469,18561,chair
1757,7691,5162,20453,chair
1759,7693,4374,18312,chair
1765,7699,14825,71416,chair
1770,7704,29672,136163,chair
1772,7706,3806,16803,chair
1773,7707,32937,143639,chair
1775,7709,23920,117042,chair
1777,7712,24418,118186,chair
1778,7713,32184,142041,chair
1780,7715,12785,61395,chair
1781,7716,4866,19636,chair
1781,7716,4998,19983,reader
1782,7717,10261,49721,chair
1785,7720,4117,17668,chair
1794,7729,15669,75611,chair
1797,7732,22149,110183,chair
1804,7739,12898,61814,chair
1806,7741,6118,22804,chair
1807,7742,4816,19474,chair
1808,7743,10192,49497,chair
1809,7744,15404,73945,chair
1810,7745,5052,20122,chair
1812,7747,3345,15646,chair
1813,7748,2444,11175,chair
1814,7749,1475,8524,chair
1817,7752,4814,19470,chair
1820,7755,715,6542,chair
1821,7756,28713,132416,chair
1825,7760,4682,19119,chair
1827,7762,1305,8103,chair
1828,7763,5313,20846,chair
1829,7764,3565,16206,chair
1830,7765,30677,137702,chair
1830,7765,29113,133520,reader
1832,7767,3617,16335,chair
1836,7771,17370,82853,chair
1836,7771,6334,31098,reader
1840,7777,22574,112448,chair
1842,7780,2312,10821,chair
1843,7781,30595,137602,chair
1849,7787,20192,98652,chair
1851,7789,10203,49543,chair
1852,7790,32187,142044,chair
1853,7791,11542,55704,chair
1854,7792,49829,162814,chair
1861,7799,30396,137377,chair
1862,7800,16161,77506,chair
1863,7802,9082,44255,chair
1864,7803,9963,48506,chair
1866,7805,2656,11726,chair
1868,7807,26818,125896,chair
1868,7807,25778,121247,reader
1870,7809,6144,22882,chair
1872,7811,21093,102781,chair
1874,7813,4613,18941,chair
1874,7813,3446,15897,reader
1875,7814,6824,33008,chair
1876,7815,3227,15343,chair
1878,7817,3178,15235,chair
1882,7821,6546,31903,chair
1883,7822,9500,46469,chair
1885,7824,22956,114787,chair
1886,7825,20220,98727,chair
1888,7828,20246,98785,chair
1890,7830,3242,15364,chair
1891,7831,5268,20713,chair
1892,7832,23081,115122,chair
1893,7833,27158,126693,chair
1895,7835,4309,18129,chair
1896,7836,1532,8691,chair
1898,7838,420,5699,chair
1901,7842,450,5755,chair
1908,7849,28779,132529,chair
1909,7850,11858,57304,chair
1911,7852,2983,12576,chair
